question_type,question,question_hi,option1,option1_hi,option2,option2_hi,option3,option3_hi,option4,option4_hi,correct,marks,negative
mcq,Which of the following is the core principle of the CIA triad?,CIA त्रिकोण का मूल सिद्धांत कौन सा है?,Confidentiality,गोपनीयता,Integrity,अखंडता,Availability,उपलब्धता,Accountability,जवाबदेही,1,1,0.25
mcq,What does encryption primarily provide?,एन्क्रिप्शन मुख्य रूप से क्या प्रदान करता है?,Data confidentiality,डेटा गोपनीयता,Data integrity,डेटा अखंडता,Authentication,प्रमाणीकरण,Logging,लॉगिंग,1,1,0.25
mcq,Which algorithm is symmetric-key encryption?,निम्नलिखित में से कौन सा एल्गोरिथ्म सममित-कुंजी एन्क्रिप्शन है?,AES,AES,RSA,RSA,DSA,DSA,ECC,ECC,1,1,0.25
mcq,Which algorithm is asymmetric-key encryption?,निम्नलिखित में से कौन सा एल्गोरिथ्म विषमित-कुंजी एन्क्रिप्शन है?,Blowfish,Blowfish,RSA,RSA,AES,AES,MD5,MD5,2,1,0.25
mcq,What is hashing used for?,हैशिंग किसके लिए उपयोग होती है?,Password storage,पासवर्ड भंडारण,Encrypting files,फाइलें एन्क्रिप्ट करना,Network routing,नेटवर्क रूटिंग,Compression,संपीड़न,1,1,0.25
mcq,Which is a secure hashing algorithm family?,कौन सा सुरक्षित हैशिंग एल्गोरिथ्म परिवार है?,SHA family,SHA परिवार,MD4 family,MD4 परिवार,DES family,DES परिवार,RC4 family,RC4 परिवार,1,1,0.25
mcq,What is the purpose of a salt in password hashing?,पासवर्ड हैशिंग में साल्ट का उद्देश्य क्या है?,Prevent rainbow table attacks,रैनबो टेबल हमलों को रोकना,Speed up hashing,हैशिंग तेज़ करना,Store user emails,यूज़र ईमेल स्टोर करना,Compress hashes,हैश को संपीड़ित करना,1,1,0.25
mcq,Which is a key derivation function for passwords?,पासवर्ड के लिए कौन सा की-डेरिवेशन फ़ंक्शन है?,PBKDF2,PBKDF2,Bcrypt,Bcrypt,Argon2,Argon2,All of the above,ऊपर के सभी,4,1,0.25
mcq,What does TLS provide?,TLS क्या प्रदान करता है?,Encryption for data in transit,डेटा इन ट्रांज़िट के लिए एन्क्रिप्शन,Disk encryption,डिस्क एन्क्रिप्शन,User authentication,उपयोगकर्ता प्रमाणीकरण,Backup service,बैकअप सेवा,1,1,0.25
mcq,Which port is default for HTTPS?,HTTPS के लिए डिफ़ॉल्ट पोर्ट कौन सा है?,443,443,80,80,22,22,25,25,1,1,0.25
mcq,What is a firewall used for?,फ़ायरवॉल किसके लिए उपयोग होता है?,Network traffic filtering,नेटवर्क ट्रैफ़िक फ़िल्टरिंग,Encrypting emails,ईमेल एन्क्रिप्ट करना,Storing passwords,पासवर्ड स्टोर करना,Monitoring CPU,CPU की निगरानी,1,1,0.25
