question,option1,option2,option3,option4,correct,marks,negative
What does CIA stand for in cybersecurity,Confidentiality Integrity Availability,Control Input Access,Client Internet Access,Critical Information Alert,1,1,0.25
Which is a strong password practice,Use your name and birthdate,Reuse one password everywhere,Use a long unique passphrase,Share it with trusted friends,3,1,0.25
What is phishing,Fake messages that trick users into revealing data,Hardware failure in a server,Encrypting files for backup,Scanning code for bugs,1,1,0.25
Which protocol is secure for web browsing,HTTP,FTP,SMTP,HTTPS,4,1,0.25
What is malware,Any software that is harmful or unwanted,A software update tool,An antivirus license,A password manager,1,1,0.25
What does 2FA mean,Two file access,Two factor authentication,Total firewall access,Trusted firmware allowance,2,1,0.25
Which device filters network traffic,Switch,Router,Firewall,Hub,3,1,0.25
What is ransomware,Software that locks data until payment is made,Software that cleans temp files,Software that speeds internet,Software that changes screen brightness,1,1,0.25
What is social engineering,Using human tricks to get confidential information,Writing secure code only,Testing network speed,Backing up files,1,1,0.25
Which is an example of encryption,Converting readable data into coded form,Deleting duplicate files,Renaming folders,Compressing images,1,1,0.25
What is a phishing email,An email that pretends to be from a trusted source,A backup email sent to admins,A system log report,An encrypted attachment only,1,1,0.25
Which one is a biometric factor,Fingerprint,Username,Security question,PIN code,1,1,0.25
What is a VPN used for,To create a secure encrypted tunnel over a network,To increase monitor brightness,To remove viruses automatically,To format hard drives,1,1,0.25
Which attack floods a system with traffic,DDoS,SQL backup,Patch management,Port scanning,1,1,0.25
What is a patch,An update that fixes security or software issues,A type of malware,A login certificate,A network cable,1,1,0.25
Which is best for storing passwords,Text file on desktop,Password manager,Sticky note,Shared spreadsheet,2,1,0.25
What does antivirus software detect,Malicious code and threats,Printer errors only,Weather changes,Keyboard layout,1,1,0.25
What is a zero day vulnerability,A flaw unknown to the vendor and often unpatched,A backup file format,A password reset link,A secure login method,1,1,0.25
Which is a common sign of malware,Slow performance and strange popups,Brighter screen colors,Higher volume output,Faster internet always,1,1,0.25
What is the purpose of a backup,To copy data for recovery if lost,To hide the screen from users,To speed up typing,To compress video only,1,1,0.25
What is SQL injection,An attack that inserts malicious SQL into input fields,A firewall rule update,A secure coding pattern,A login token,1,1,0.25
Which should you avoid opening,Unexpected email attachments from unknown senders,Messages from IT support,Official policy documents,Calendar reminders,1,1,0.25
What is a brute force attack,Trying many passwords until one works,Encrypting data with strong keys,Installing software updates,Changing account settings,1,1,0.25
What is access control,Limiting who can use resources,Increasing keyboard speed,Compressing data files,Improving screen resolution,1,1,0.25
Which principle gives users only needed access,Least privilege,Open access,Full trust,Maximum exposure,1,1,0.25
What is a firewall rule,An instruction that allows or blocks traffic,A backup schedule,A password hint,A printer driver,1,1,0.25
What is an incident response plan,A process for handling security incidents,A plan for office seating,A document for payroll,A method for faster browsing,1,1,0.25
Which is safer for login credentials,Sharing credentials over chat,Using unique credentials per account,Writing passwords on paper,Using public Wi Fi,2,1,0.25
What is a hash,Fixed length output from data used for integrity,An encrypted chat app,A router setting,A file permission tool,1,1,0.25
Which protects data while stored at rest,Disk encryption,Screen saver,Email signature,Volume control,1,1,0.25
