question_type,question,option1,option2,option3,option4,correct,marks,negative
mcq,What does SSC stand for,Staff Selection Commission,State Security Council,School Service Committee,Senior Staff Cell,1,1,0.25
mcq,What is the full form of GD in SSC GD,General Duty,General Department,Group Division,Grade Duty,1,1,0.25
mcq,Which is the capital of India,Mumbai,New Delhi,Kolkata,Chennai,2,1,0.25
mcq,Which river is known as the Ganga of South India,Godavari,Narmada,Krishna,Kaveri,4,1,0.25
mcq,Which planet is called the Red Planet,Venus,Mars,Jupiter,Saturn,2,1,0.25
mcq,What is the SI unit of force,Newton,Joule,Watt,Pascal,1,1,0.25
mcq,Which is the largest mammal,Elephant,Blue whale,Giraffe,Hippopotamus,2,1,0.25
mcq,Who wrote the Indian national anthem,Bankim Chandra Chatterjee,Rabindranath Tagore,Subhash Chandra Bose,Mahatma Gandhi,2,1,0.25
mcq,What is the national animal of India,Lion,Tiger,Elephant,Peacock,2,1,0.25
mcq,Which gas do plants absorb,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,1,1,0.25
multi_select,Select the constitutional organs of India,President,Parliament,Gram Sabha,Supreme Court,1|2|4,1,0.25
multi_select,Select the Union Territories of India,Goa,Delhi,Jammu and Kashmir,Rajasthan,2|3,1,0.25
multi_select,Select the fundamental rights,Right to Equality,Right to Freedom,Right to Property,Right against Exploitation,1|2|4,1,0.25
multi_select,Select the planets in the solar system,Moon,Mars,Earth,Sun,2|3,1,0.25
multi_select,Select the Indian states,Kerala,Puducherry,Assam,Ladakh,1|3,1,0.25
mcq,What is the boiling point of water at sea level,50 degree C,100 degree C,75 degree C,90 degree C,2,1,0.25
mcq,Who is known as the father of the nation in India,Jawaharlal Nehru,Sardar Patel,Mahatma Gandhi,Bhagat Singh,3,1,0.25
mcq,Which continent is India in,Europe,Asia,Africa,Australia,2,1,0.25
mcq,What is the smallest prime number,0,1,2,3,3,1,0.25
mcq,Which instrument measures temperature,Thermometer,Barometer,Speedometer,Altimeter,1,1,0.25
true_false,The sun rises in the east,,,,,True,1,0.25
true_false,Water freezes at 0 degree C,,,,,True,1,0.25
true_false,The Earth is flat,,,,,False,1,0.25
true_false,India got independence in 1947,,,,,True,1,0.25
